Row_ID,Order_Date,Ship_Date,Ship_Mode,Segment,City,State,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
33,2014-01-14,2014-01-15,First Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,0.5,-53.29
34,2014-01-15,2014-01-17,First Class,Consumer,Roswell,Georgia,South,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,0,65.98
35,2014-01-16,2014-01-18,Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.1,6,0.2,28.6
36,2014-01-16,2014-01-18,Second Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,AT&T 841000 Phone,124.2,3,0.4,-31.05
37,2014-01-16,2014-01-18,Second Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,GBC Linen Binding Covers,18.59,2,0.7,-13.63
38,2014-01-16,2014-01-18,Second Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.07,3,0.2,10.15
39,2014-01-18,2014-01-21,Second Class,Corporate,Springfield,Oregon,West,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.86,4,0.2,6.49
40,2014-01-19,2014-01-20,First Class,Consumer,Scottsdale,Arizona,West,Office Supplies,Binders,GBC Standard Recycled Report Covers Clear Plastic Sheets,32.34,10,0.7,-23.72
41,2014-01-19,2014-01-20,First Class,Consumer,Scottsdale,Arizona,West,Office Supplies,Paper,TOPS Carbonless Receipt Book Four 2-3/4 x 7-1/4 Money Receipts per Page,56.06,4,0.2,19.62
42,2014-01-19,2014-01-20,First Class,Consumer,Scottsdale,Arizona,West,Office Supplies,Envelopes,Tyvek  Top-Opening Peel & Seel Envelopes Plain White,108.72,5,0.2,36.69
43,2014-01-19,2014-01-20,First Class,Consumer,Scottsdale,Arizona,West,Furniture,Bookcases,OSullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,0.7,-320.6
44,2014-01-20,2014-01-26,Standard Class,Consumer,Jonesboro,Arkansas,South,Technology,Phones,Apple iPhone 5C,699.93,7,0,181.98
45,2014-01-20,2014-01-26,Standard Class,Consumer,Jonesboro,Arkansas,South,Office Supplies,Art,Newell 351,22.96,7,0,6.66
46,2014-01-20,2014-01-26,Standard Class,Consumer,Jonesboro,Arkansas,South,Furniture,Furnishings,Eldon Expressions Desk Accessory Wood Pencil Holder Oak,38.6,4,0,11.58
47,2014-01-20,2014-01-26,Standard Class,Consumer,Jonesboro,Arkansas,South,Office Supplies,Art,Newell 327,6.63,3,0,1.79
48,2014-01-20,2014-01-26,Standard Class,Consumer,Jonesboro,Arkansas,South,Office Supplies,Envelopes,Staple envelope,23.34,3,0,10.97
49,2014-01-20,2014-01-26,Standard Class,Consumer,Jonesboro,Arkansas,South,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3,0,224.27
50,2014-01-20,2014-01-25,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,Wirebound Service Call Books 5 1/2 x 4,19.36,2,0,9.29
51,2014-01-20,2014-01-25,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,Eldon Expressions Desk Accessory Wood Pencil Holder Oak,19.3,2,0,5.79
52,2014-01-20,2014-01-26,Standard Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,Eldon Fold N Roll Cart System,13.98,1,0,4.05
53,2014-01-20,2014-01-26,Standard Class,Consumer,Westland,Michigan,Central,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3,0,30.02
54,2014-01-20,2014-01-26,Standard Class,Consumer,Westland,Michigan,Central,Office Supplies,Binders,Acco Pressboard Covers with Storage Hooks 9 1/2 x 11 Executive Red,19.05,5,0,8.95
55,2014-01-20,2014-01-26,Standard Class,Consumer,Westland,Michigan,Central,Office Supplies,Appliances,Holmes Replacement Filter for HEPA Air Cleaner Very Large Room HEPA Filter,247.72,4,0.1,93.58
56,2014-01-20,2014-01-26,Standard Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2,0,15.98
57,2014-01-20,2014-01-26,Standard Class,Consumer,Westland,Michigan,Central,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3,0,12.74
58,2014-01-20,2014-01-26,Standard Class,Consumer,Westland,Michigan,Central,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,0,4.86
59,2014-01-20,2014-01-26,Standard Class,Consumer,Westland,Michigan,Central,Office Supplies,Binders,Storex Dura Pro Binders,29.7,5,0,13.37
60,2014-01-20,2014-01-26,Standard Class,Corporate,Smyrna,Tennessee,South,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.19,1,0.7,-51.52
61,2014-01-21,2014-01-23,Second Class,Consumer,Miami,Florida,South,Furniture,Furnishings,Ultra Door Pull Handle,25.25,3,0.2,4.1
62,2014-01-23,2014-01-28,Standard Class,Consumer,Las Vegas,Nevada,West,Office Supplies,Paper,Xerox 195,40.08,6,0,19.24
63,2014-01-23,2014-01-27,Standard Class,Consumer,Lafayette,Indiana,Central,Office Supplies,Fasteners,Alliance Big Bands Rubber Bands 12/Pack,5.94,3,0,0
64,2014-01-26,2014-01-31,Standard Class,Home Office,Alexandria,Virginia,South,Furniture,Furnishings,GE General Use Halogen Bulbs 100 Watts 1 Bulb per Pack,62.82,3,0,30.78
65,2014-01-26,2014-01-31,Standard Class,Home Office,Alexandria,Virginia,South,Office Supplies,Storage,SAFCO Commercial Wire Shelving 72h,489.92,8,0,0
66,2014-01-26,2014-01-31,Standard Class,Home Office,Alexandria,Virginia,South,Office Supplies,Paper,Eureka Recycled Copy Paper 8 1/2 x 11 Ream,19.44,3,0,9.33
67,2014-01-26,2014-01-31,Standard Class,Home Office,Alexandria,Virginia,South,Office Supplies,Paper,REDIFORM Incoming/Outgoing Call Register 11 X 8 1/2 100 Messages,16.68,2,0,8.34
68,2014-01-26,2014-01-31,Standard Class,Home Office,Alexandria,Virginia,South,Technology,Phones,Macally Suction Cup Mount,155.35,13,0,0
69,2014-01-26,2014-01-31,Standard Class,Home Office,Alexandria,Virginia,South,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,3,0,4.47
70,2014-01-26,2014-01-31,Standard Class,Home Office,Alexandria,Virginia,South,Technology,Phones,Jabra SPEAK 410,187.98,2,0,52.63
71,2014-01-26,2014-01-29,First Class,Corporate,Rapid City,South Dakota,Central,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,0,5.02
72,2014-01-26,2014-01-29,First Class,Corporate,Rapid City,South Dakota,Central,Furniture,Bookcases,Safco Value Mate Series Steel Bookcases Baked Enamel Finish on Steel Gray,141.96,2,0,39.75
73,2014-01-27,2014-02-02,Standard Class,Consumer,San Diego,California,West,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23,1,0,14.31
74,2014-01-27,2014-02-02,Standard Class,Consumer,San Diego,California,West,Furniture,Tables,Balt Split Level Computer Training Table,333,3,0.2,-16.65
75,2014-01-27,2014-02-02,Standard Class,Consumer,San Diego,California,West,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,4,0,12.03
76,2014-01-28,2014-02-03,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,Pressboard Covers with Storage Hooks 9 1/2 x 11 Light Blue,3.93,1,0.2,1.33
77,2014-01-30,2014-02-04,Standard Class,Consumer,Detroit,Michigan,Central,Office Supplies,Paper,Xerox 1972,10.56,2,0,4.75
78,2014-01-30,2014-02-04,Standard Class,Consumer,Detroit,Michigan,Central,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,229.94,2,0,6.9
79,2014-01-31,2014-02-02,First Class,Consumer,Mission Viejo,California,West,Furniture,Bookcases,Sauder Facets Collection Library Sky Alder Finish,290.67,2,0.15,3.42
80,2014-02-01,2014-02-03,First Class,Consumer,Green Bay,Wisconsin,Central,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,6,0,206.32
81,2014-02-02,2014-02-06,Standard Class,Home Office,San Diego,California,West,Office Supplies,Fasteners,Staples,12.35,5,0,5.8
82,2014-02-02,2014-02-09,Standard Class,Consumer,Saint Petersburg,Florida,South,Office Supplies,Binders,Surelock Post Binders,18.34,2,0.7,-12.22
83,2014-02-02,2014-02-09,Standard Class,Consumer,Saint Petersburg,Florida,South,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,0.2,13.57
84,2014-02-03,2014-02-06,Second Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,2,0.2,27.25
85,2014-02-03,2014-02-06,Second Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,Avery Durable Poly Binders,13.27,3,0.2,4.31
86,2014-02-04,2014-02-08,Standard Class,Home Office,San Diego,California,West,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.9,3,0.2,29.01
87,2014-02-04,2014-02-08,Standard Class,Home Office,San Diego,California,West,Office Supplies,Paper,Message Book Standard Line While You Were Out 5 1/2 X 4 200 Sets/Book,34.24,4,0,16.09
88,2014-02-04,2014-02-08,Second Class,Corporate,Escondido,California,West,Office Supplies,Binders,GBC Standard Recycled Report Covers Clear Plastic Sheets,17.25,2,0.2,6.04
89,2014-02-06,2014-02-09,First Class,Corporate,Chesapeake,Virginia,South,Office Supplies,Labels,Avery 480,15,4,0,7.2
90,2014-02-06,2014-02-09,First Class,Corporate,Chesapeake,Virginia,South,Technology,Phones,Aastra 57i VoIP phone,161.61,1,0,42.02
91,2014-02-06,2014-02-09,First Class,Corporate,Chesapeake,Virginia,South,Technology,Phones,AT&T CL82213,144.95,5,0,42.04
92,2014-02-06,2014-02-10,Second Class,Consumer,Romeoville,Illinois,Central,Office Supplies,Binders,Avery Flip-Chart Easel Binder Black,8.95,2,0.8,-14.77
93,2014-02-07,2014-02-12,Standard Class,Corporate,Linden,New Jersey,East,Technology,Accessories,Maxell DVD-RAM Discs,115.36,7,0,49.6
94,2014-02-07,2014-02-10,Second Class,Corporate,New York City,New York,East,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,64.96,4,0,9.74
95,2014-02-08,2014-02-09,First Class,Home Office,North Las Vegas,Nevada,West,Furniture,Furnishings,Master Caster Door Stop Large Brown,14.56,2,0,5.53
96,2014-02-11,2014-02-15,Standard Class,Consumer,Chesapeake,Virginia,South,Technology,Accessories,Enermax Aurora Lite Keyboard,234.45,3,0,103.16
97,2014-02-11,2014-02-15,Standard Class,Consumer,Chesapeake,Virginia,South,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1256.22,6,0,75.37
98,2014-02-11,2014-02-15,Standard Class,Consumer,Chesapeake,Virginia,South,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.21
99,2014-02-11,2014-02-15,Second Class,Consumer,Columbia,Missouri,Central,Furniture,Chairs,Global Value Mid-Back Managers Chair Gray,60.89,1,0,15.22
100,2014-02-11,2014-02-15,Second Class,Consumer,Columbia,Missouri,Central,Office Supplies,Labels,Avery 483,14.94,3,0,6.87
101,2014-02-11,2014-02-15,Second Class,Consumer,Columbia,Missouri,Central,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64,2,0,4.43
102,2014-02-11,2014-02-15,Second Class,Consumer,Columbia,Missouri,Central,Furniture,Furnishings,Rubbermaid ClusterMat Chairmats Mat Size- 66 x 60 Lip 20 x 11 -90 Degree Angle,332.94,3,0,53.27
103,2014-02-11,2014-02-15,Second Class,Consumer,Columbia,Missouri,Central,Office Supplies,Binders,VariCap6 Expandable Binder,51.9,3,0,24.39
104,2014-02-11,2014-02-15,Second Class,Consumer,Columbia,Missouri,Central,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,64.96,2,0,2.6
105,2014-02-12,2014-02-18,Standard Class,Consumer,Concord,California,West,Furniture,Chairs,Global Geo Office Task Chair Gray,129.57,2,0.2,-24.29
106,2014-02-14,2014-02-19,Second Class,Consumer,Houston,Texas,Central,Office Supplies,Paper,Memo Book 100 Message Capacity 5 3/8” x 11”,16.18,3,0.2,6.07
107,2014-02-14,2014-02-18,Standard Class,Corporate,Seattle,Washington,West,Technology,Accessories,Logitech G600 MMO Gaming Mouse,239.97,3,0,86.39
108,2014-02-14,2014-02-18,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,81.96,2,0,22.95
109,2014-02-14,2014-02-18,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,238.62,2,0,4.77
110,2014-02-15,2014-02-19,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,21.36,5,0.2,7.21
111,2014-02-16,2014-02-21,Standard Class,Consumer,Dallas,Texas,Central,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.08,3,0.8,-1.73
112,2014-02-16,2014-02-21,Standard Class,Consumer,Dallas,Texas,Central,Office Supplies,Appliances,Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day Extended Life Filter,7.96,2,0.8,-13.93
113,2014-02-17,2014-02-24,Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Art,Staples in misc. colors,54.21,14,0.2,8.81
114,2014-02-18,2014-02-18,Same Day,Consumer,Lubbock,Texas,Central,Furniture,Furnishings,DAX Copper Panel Document Frame 5 x 7 Size,25.16,5,0.6,-11.32
115,2014-02-18,2014-02-24,Standard Class,Consumer,Arlington,Texas,Central,Office Supplies,Storage,Akro Stacking Bins,12.62,2,0.2,-2.52
116,2014-02-20,2014-02-26,Standard Class,Corporate,Richmond,Indiana,Central,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,3,0,22.43
117,2014-02-20,2014-02-26,Standard Class,Corporate,Richmond,Indiana,Central,Furniture,Furnishings,Master Caster Door Stop Brown,20.32,4,0,6.91
118,2014-02-20,2014-02-24,Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Paper,Xerox 204,12.96,2,0,6.22
119,2014-02-21,2014-02-25,Standard Class,Consumer,Woodstock,Illinois,Central,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,8.85,5,0.8,-13.72
120,2014-02-22,2014-02-24,First Class,Consumer,Moreno Valley,California,West,Office Supplies,Paper,Xerox 220,19.44,3,0,9.33
121,2014-02-23,2014-02-27,Standard Class,Home Office,El Paso,Texas,Central,Office Supplies,Labels,Staple-on labels,6.94,3,0.2,2.34
122,2014-02-23,2014-02-27,Standard Class,Home Office,El Paso,Texas,Central,Office Supplies,Binders,GBC Plastic Binding Combs,4.43,3,0.8,-6.86
123,2014-02-24,2014-03-02,Standard Class,Consumer,Medford,Oregon,West,Office Supplies,Paper,Message Book Wirebound Four 5 1/2 X 4 Forms/Pg. 200 Dupl. Sets/Book,32.9,4,0.2,11.1
124,2014-02-24,2014-03-02,Standard Class,Consumer,Medford,Oregon,West,Office Supplies,Paper,TOPS 4 x 6 Fluorescent Color Memo Sheets 500 Sheets per Pack,22.78,3,0.2,7.69
125,2014-02-27,2014-03-03,First Class,Consumer,Columbus,Ohio,East,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.46,4,0.2,3.4
126,2014-03-01,2014-03-06,Second Class,Consumer,Seattle,Washington,West,Furniture,Chairs,Global Deluxe High-Back Managers Chair,457.57,2,0.2,51.48
127,2014-03-01,2014-03-05,Standard Class,Home Office,New York City,New York,East,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94,3,0,1.6
128,2014-03-01,2014-03-05,Standard Class,Home Office,Elmhurst,Illinois,Central,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634.12,6,0.3,-172.12
129,2014-03-01,2014-03-05,Standard Class,Home Office,Elmhurst,Illinois,Central,Office Supplies,Paper,Black Print Carbonless 8 1/2 x 8 1/4 Rapid Memo Book,17.47,3,0.2,5.68
130,2014-03-01,2014-03-05,Standard Class,Consumer,El Paso,Texas,Central,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,18.84,5,0.2,-3.53
131,2014-03-01,2014-03-05,Standard Class,Consumer,El Paso,Texas,Central,Furniture,Chairs,Harbour Creations Steel Folding Chair,362.25,6,0.3,0
132,2014-03-01,2014-03-05,Standard Class,Consumer,El Paso,Texas,Central,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,63.55,6,0.6,-34.95
133,2014-03-01,2014-03-05,Standard Class,Consumer,El Paso,Texas,Central,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,129.55,3,0.2,-22.67
134,2014-03-01,2014-03-07,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,137.35,3,0.2,8.58
135,2014-03-01,2014-03-07,Standard Class,Consumer,Houston,Texas,Central,Furniture,Tables,Bevis Round Conference Room Tables and Bases,376.51,3,0.3,-43.03
136,2014-03-02,2014-03-08,Standard Class,Home Office,New York City,New York,East,Office Supplies,Envelopes,Staple envelope,11.36,2,0,5.34
137,2014-03-02,2014-03-08,Standard Class,Home Office,New York City,New York,East,Office Supplies,Paper,Array Parchment Paper Assorted Colors,36.4,5,0,17.47
138,2014-03-02,2014-03-06,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,Xerox 1971,3.42,1,0.2,1.07
139,2014-03-02,2014-03-06,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Technology,Accessories,Hypercom P1300 Pinpad,151.2,3,0.2,32.13
140,2014-03-03,2014-03-07,Second Class,Consumer,Wilmington,North Carolina,South,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.46,4,0.2,3.4
141,2014-03-03,2014-03-08,Standard Class,Home Office,New York City,New York,East,Technology,Phones,PowerGen Dual USB Car Charger,9.99,1,0,4.6
142,2014-03-03,2014-03-08,Standard Class,Home Office,New York City,New York,East,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,125.76,3,0.2,40.87
143,2014-03-03,2014-03-08,Standard Class,Home Office,New York City,New York,East,Office Supplies,Binders,Cardinal HOLDit! Binder Insert StripsExtra Strips,25.32,5,0.2,9.18
144,2014-03-03,2014-03-08,Standard Class,Corporate,Columbus,Ohio,East,Office Supplies,Labels,Avery 495,15.12,3,0.2,4.91
145,2014-03-03,2014-03-08,Standard Class,Corporate,Columbus,Ohio,East,Furniture,Bookcases,OSullivan 4-Shelf Bookcase in Odessa Pine,302.45,5,0.5,-199.62
146,2014-03-03,2014-03-08,Standard Class,Corporate,Columbus,Ohio,East,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,44.67,8,0.2,-10.05
147,2014-03-03,2014-03-07,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,176.77,3,0.8,-459.61
148,2014-03-03,2014-03-07,Standard Class,Consumer,San Diego,California,West,Furniture,Tables,Bevis Oval Conference Table Walnut,626.35,3,0.2,-23.49
149,2014-03-04,2014-03-04,Same Day,Consumer,Columbia,South Carolina,South,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,354.9,5,0,17.75
150,2014-03-04,2014-03-09,Standard Class,Consumer,Margate,Florida,South,Office Supplies,Art,BIC Brite Liner Highlighters Chisel Tip,15.55,3,0.2,2.33
151,2014-03-05,2014-03-08,Second Class,Consumer,Yonkers,New York,East,Office Supplies,Art,Newell 345,59.52,3,0,15.48
152,2014-03-05,2014-03-08,Second Class,Consumer,Yonkers,New York,East,Technology,Accessories,Logitech Wireless Gaming Headset G930,479.97,3,0,177.59
153,2014-03-05,2014-03-08,Second Class,Consumer,Yonkers,New York,East,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,18.62,2,0,5.4
154,2014-03-05,2014-03-08,Second Class,Consumer,Yonkers,New York,East,Office Supplies,Binders,GBC Wire Binding Combs,49.63,6,0.2,16.75
155,2014-03-05,2014-03-08,Second Class,Consumer,Yonkers,New York,East,Office Supplies,Paper,Xerox 1891,97.82,2,0,45.98
156,2014-03-07,2014-03-08,First Class,Consumer,Seattle,Washington,West,Furniture,Chairs,Global Push Button Managers Chair Indigo,48.71,1,0.2,5.48
157,2014-03-07,2014-03-08,First Class,Consumer,Seattle,Washington,West,Office Supplies,Art,Newell 330,17.94,3,0,4.66
158,2014-03-07,2014-03-08,First Class,Consumer,Seattle,Washington,West,Office Supplies,Storage,Carina 42Hx23 3/4W Media Storage Unit,242.94,3,0,4.86
159,2014-03-07,2014-03-11,Second Class,Home Office,Des Moines,Washington,West,Office Supplies,Binders,Catalog Binders with Expanding Posts,107.65,2,0.2,33.64
160,2014-03-07,2014-03-12,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Art,Newell Chalk Holder,20.65,5,0,9.5
161,2014-03-07,2014-03-12,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Storage,Contico 72H Heavy-Duty Storage System,204.9,5,0,0
162,2014-03-07,2014-03-12,Standard Class,Corporate,Seattle,Washington,West,Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms,436.7,6,0.2,21.84
163,2014-03-07,2014-03-12,Standard Class,Corporate,Seattle,Washington,West,Furniture,Chairs,Global Leather and Oak Executive Chair Black,481.57,2,0.2,54.18
164,2014-03-10,2014-03-14,Standard Class,Consumer,Royal Oak,Michigan,Central,Office Supplies,Paper,Geographics Note Cards Blank White 8 1/2 x 11,22.38,2,0,10.74
165,2014-03-10,2014-03-17,Standard Class,Consumer,Denver,Colorado,West,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,636.41,3,0.2,-15.91
166,2014-03-10,2014-03-17,Standard Class,Consumer,Denver,Colorado,West,Office Supplies,Art,BOSTON Ranger 55 Pencil Sharpener Black,83.17,4,0.2,9.36
167,2014-03-11,2014-03-16,Second Class,Consumer,Columbus,Ohio,East,Furniture,Furnishings,Eldon Wave Desk Accessories,8.32,5,0.2,2.29
